#separator:Pipe
#columns:Key|Basic meanings of word|Word|Masculine Singular|Feminine Singular|Masculine Plural|Feminine Plural|Adverb|Infinitive|Past Participle|Present Participle|Example sentences|Wiktionary
#notetype:English to French
#deck:French Courses::B1.4::English to French Vocab
adj-absolu|Adjective: absolute|absolu|absolu|absolue|absolus|absolues||||||
adj-accueillant|Adjective: welcoming|accueillant|accueillant|accueillante|accueillants|accueillantes||||||
adj-annuel|Adjective: annual|annuel|annuel|annuelle|annuels|annuelles||||||
adj-bordé|Adjective: bordered|bordé|bordé|bordée|bordés|bordées||||||
adj-caritatif|Adjective: charitable/charity|caritatif|caritatif|caritative|caritatifs|caritatives||||||
adj-commun|Adjective: common (shared), communal|commun|commun|commune|communs|communes||||||
adj-conjugal|Adjective: conjugal (relating to marriage)|conjugal|conjugal|conjugale|conjugaux|conjugales||||||
adj-hors du commun|Adjective: out of the ordinary|hors du commun|hors du commun|||||||||
adj-indispensable|Adjective: indispensable/ can't live without it|indispensable|indispensable|indispensable|indispensables|indispensables||||||
adj-lointain|Adjective: distant/ remote|lointain|lointain|lointaine|lointains|lointaines||||||
adj-lumineux|Adjective: bright/luminous|lumineux|lumineux|lumineuse|lumineux|lumineuses||||||
adj-mensuel|Adjective: monthly|mensuel|mensuel|mensuelle|mensuels|mensuelles||||||
adj-motivé|Adjective: motivated/enthusiastic|motivé|motivé|motivée|motivés|motivées||||||
adj-méconnu|Adjective: little known/unfamiliar (but not unknown), misunderstood, underappreciated|méconnu|méconnu|méconnue|méconnus|méconnues||||||
adj-ménager|Adjective: household|ménager|ménager|ménagère|ménagers|ménagères||||||
adj-mûr|Adjective: mature|mûr|mûr|mûre|mûrs|mûres||||||
adj-nombreux|Adjective: numerous/ many|nombreux|nombreux|nombreuse|nombreux|nombreuses||||||
adj-phénoménal|Adjective: phenomenal|phénoménal|phénoménal|phénoménale|phénoménaux|phénoménales||||||
adj-privé|Adjective: private|privé|privé|privée|privés|privées||||||
adj-pâle|Adjective: pale|pâle|pâle|pâle|pâles|pâles||||||
adj-requis|Adjective: required|requis|requis|requise|requis|requises||||||
adj-récent|Adjective: recent|récent|récent|récente|récents|récentes||||||
adj-solidaire|Adjective: showing solidarity (with)|solidaire|solidaire|solidaire|solidaires|solidaires||||||
adj-soyeux|Adjective: silky|soyeux|soyeux|soyeuse|soyeux|soyeuses||||||
adj-spacieux|Adjective: spacious|spacieux|spacieux|spacieuse|spacieux|spacieuses||||||
adj-spotané|Adjective: spontaneous|spotané|spontané|spontanée|spontanés|spontanées||||||
adj-tentant|Adjective: tempting|tentant|tentant|tentante|tentants|tenantes||||||
adj-téméraire|Adjective: rash/reckless|téméraire|téméraire|téméraire|téméraires|téméraires||||||
adv-en principe|Adverb: in principle/ in theory|en principe|||||en principe|||||
adv-en revanche|Adverb: however|en revanche|||||en revanche|||||
adv-infiniment|Adverb: infinitely|infiniment|||||infiniment|||||
adv-notamment|Adverb: notably, especially|notamment|||||notamment|||||
adv-à proximité|Adverb: nearby|à proximité|||||à proximité|||||
adv-économiquement|Adverb: economically|économiquement|||||économiquement|||||
misc-L'herbe est toujours plus verte ailleurs|The grass is always greener on the other side|L'herbe est toujours plus verte ailleurs|||||L'herbe est toujours plus verte ailleurs|||||
misc-auprès de|Preposition: near to|auprès de|||||auprès de|||||
misc-avoir la tête qui tourne|To be dizzy / light headed|avoir la tête qui tourne|||||avoir la tête qui tourne|||||
misc-en pleine nuit|In the middle of the night|en pleine nuit|||||en pleine nuit|||||
misc-l'âge mûr|Middle aged|l'âge mûr|||||l'âge mûr|||||
misc-les premiers secours|first aid|les premiers secours|||||les premiers secours|||||
misc-ne ... que|Not anything but... / only|ne ... que|||||ne ... que|||||
misc-reprendre le flambeau|Pass the torch (continue the tradition)|reprendre le flambeau|||||reprendre le flambeau|||||
misc-à travers|Preposition: through, across, throughout|à travers|||||à travers|||||
misc-ça me prend la tête|It does my head in|ça me prend la tête|||||ça me prend la tête|||||
noun-Pays-Bas|Noun: Netherlands|Pays-Bas|||les Pays-Bas|||||||
noun-abécédaire|Noun: an alphabet primer|abécédaire|l'abécédaire||les abécédaires|||||||
noun-actif|Noun: asset|actif|l'actif||les actifs|||||||
noun-angine|Noun: sore throat|angine||l'angine||les angines||||||
noun-arrière|Noun: back/rear|arrière|l'arrière||les arrières|||||||
noun-baignoire|Noun: bathtub|baignoire||la baignoire||les baignoires||||||
noun-balcon|Noun: balcony|balcon|le balcon||les balcons|||||||
noun-bambin|Noun: toddler|bambin|le bambin|la bambine|les bambins|||||||
noun-banlieue|Noun: suburb|banlieue||la banlieue||les banlieues||||||
noun-baroudeur|Noun: backpacker|baroudeur|le baroudeur|la baroudeuse|les baroudeurs|les baroudeuses||||||
noun-bourse|Noun: financial grant, stock exchange|bourse||la bourse||les bourses||||||
noun-cabane|Noun: cabin/hut/shack/shed|cabane||la cabane||les cabanes||||||
noun-cafard|Noun: hypocrite, (animal) cockroach|cafard|le cafard||les cafards|||||||
noun-carence|Noun: deficiency|carence||la carence||les carences||||||
