#separator:Pipe
#columns:Key|Basic meanings of word|Word|Masculine Singular|Feminine Singular|Masculine Plural|Feminine Plural|Adverb|Infinitive|Past Participle|Present Participle|Example sentences|Wiktionary
#notetype:English to French
#deck:French Courses::B1.6::English to French Vocab
adj-factice|Adjective: fake|factice|factice||factices|||||||
adj-haineux|Adjective: hateful|haineux|haineux|haineuse|haineux|haineuses||||||
adj-imprudent|Adjective: imprudent/ reckless|imprudent|imprudent|imprudente|imprudents|imprudentes||||||
adj-infernal|Adjective: hellish, infernal|infernal|infernal|infernale|infernaux|infernales||||||
adj-informationnel|Adjective: informational|informationnel|informationnel|informationnelle|informationnels|informationnelles||||||
adj-laborieux|Adjective: laborious/ painstaking|laborieux|laborieux|laborieuse|laborieux|laborieuses||||||
adj-loufoque|Adjective: crazy|loufoque|loufoque||loufoques|||||||
adj-minutieux|Adjective: thorough/ elaborate/ detailed|minutieux|minutieux|minutieuse|minutieux|minutieuses||||||
adj-neutre|Adjective: neutral|neutre|neutre||neutres|||||||
adj-objectif|Adjective: objective/ impartial|objectif|objectif|objective|objectifs|objectives||||||
adj-paradoxal|Adjective: paradoxical|paradoxal|paradoxal|paradoxale|paradoxaux|paradoxales||||||
adj-passionnant|Adjective: evoking passion or enthusiasm|passionnant|passionnant|passionnante|passionnants|passionnantes||||||
adj-pertinent|Adjective: pertinent|pertinent|pertinent|pertinente|pertinents|pertinentes||||||
adj-polyvalent|Adjective: versatile, multipurpose|polyvalent|polyvalent|polyvalente|polyvalents|polyvalentes||||||
adj-ponctuel|Adjective: punctual|ponctuel|ponctuel|ponctuelle|ponctuels|ponctuelles||||||
adj-précaire|Adjective: precarious|précaire|précaire||précaires|||||||
adj-prévisible|Adjective: predictable|prévisible|prévisible||prévisibles|||||||
adj-pénible|Adjective: painful/ hard/ displeasing, annoying|pénible|pénible||pénibles|||||||
adj-renommé|Adjective: renowned|renommé|renommé|renommée|renommés|renommées||||||
adj-régulier|Adjective: regular|régulier|régulier|régulière|réguliers|régulières||||||
adj-répétitif|Adjective: repetitive|répétitif|répétitif|répétitive|répétitifs|répétitives||||||
adj-sobre|Adjective: sober, modest|sobre|sobre||sobres|||||||
adj-sophistiqué|Adjective: sophisticated|sophistiqué|sophistiqué|sophistiquée|sophistiqués|sophistiquées||||||
adj-souple|Adjective: supple/ flexible|souple|souple||souples|||||||
adj-subjectif|Adjective: subjective/ personal|subjectif|subjectif|subjective|subjectifs|subjectives||||||
adj-varié|Adjective: varied|varié|varié|variée|variés|variées||||||
adj-vestimentaire|Adjective: (adjective) clothing|vestimentaire|vestimentaire||vestimentaires|||||||
adj-zinzin|Adjective: bonkers|zinzin|zinzin||zinzins|||||||
adj-épais|Adjective: thick|épais|épais|épaisse|épais|épaisses||||||
adj-épanouissant|Adjective: fulfilling|épanouissant|épanouissant|épanouissante|épanouissants|épanouissantes||||||
adv-auparavant|Adverb: beforehand/ previously|auparavant|||||auparavant|||||
adv-soigneusement|Adverb: carefully|soigneusement|||||soigneusement|||||
adv-à peine|Adverb: barely, hardly, scarcely|à peine|||||à peine|||||
misc-au point de + l'indicatif|so much so that ...|au point de + l'indicatif|||||au point de + l'indicatif|||||
misc-avoir deux casquettes|Wear 2 hats|avoir deux casquettes|||||avoir deux casquettes|||||
misc-avoir le vent en poupe|to gather steam/ gain popularity|avoir le vent en poupe|||||avoir le vent en poupe|||||
misc-classes préparatoires aux grandes écoles|(CPGE) 2 year prep class for entry into prestigious unis|classes préparatoires aux grandes écoles|||||classes préparatoires aux grandes écoles|||||
misc-dans un premier temps|first of all|dans un premier temps|||||dans un premier temps|||||
misc-de façon (à ce) que + subjonctif|in order to ...|de façon (à ce) que + subjonctif|||||de façon (à ce) que + subjonctif|||||
misc-de manière (à ce) que + subjonctif|in order to ...|de manière (à ce) que + subjonctif|||||de manière (à ce) que + subjonctif|||||
misc-de même|likewise|de même|||||de même|||||
misc-de peur que + subjonctif|for fear that ...|de peur que + subjonctif|||||de peur que + subjonctif|||||
misc-de sorte que + l'indicatif|so much so that ... (conséquence)|de sorte que + l'indicatif|||||de sorte que + l'indicatif|||||
misc-de sorte que + le subjonctif|in order to ... (le but)|de sorte que + le subjonctif|||||de sorte que + le subjonctif|||||
misc-du fait de + un nom|due to, because of|du fait de + un nom|||||du fait de + un nom|||||
misc-en gras|in bold|en gras|||||en gras|||||
misc-en italique|in italic|en italique|||||en italique|||||
misc-en raison de + un nom|due to, because of|en raison de + un nom|||||en raison de + un nom|||||
misc-en vue de + infinitif|in order to ...|en vue de + infinitif|||||en vue de + infinitif|||||
misc-faire des heures supplémentaires|over time|faire des heures supplémentaires|||||faire des heures supplémentaires|||||
misc-faute de + un nom|through lack of ...|faute de + un nom|||||faute de + un nom|||||
misc-la bague de fiançaille|engagement ring|la bague de fiançaille|||||la bague de fiançaille|||||
misc-la cerise sur le gâteau|the cherry on top/ icing on the cake|la cerise sur le gâteau|||||la cerise sur le gâteau|||||
misc-la descente aux enfers|descent into hell|la descente aux enfers|||||la descente aux enfers|||||
misc-le SMIC (salaire minimum interprofessionel de croissance)|minimum wage|le SMIC (salaire minimum interprofessionel de croissance)|||||le SMIC (salaire minimum interprofessionel de croissance)|||||
misc-le cas de figure|hypothesis|le cas de figure|||||le cas de figure|||||
misc-le point d'exlamation|!|le point d'exlamation|||||le point d'exlamation|||||
misc-le point de repère|point of reference|le point de repère|||||le point de repère|||||
misc-le point de suspension|...|le point de suspension|||||le point de suspension|||||
misc-mettre en valeur|to highlight|mettre en valeur|||||mettre en valeur|||||
misc-mettre le feux aux poudres|to spark off a criss/ stir up a hornets' nest|mettre le feux aux poudres|||||mettre le feux aux poudres|||||
misc-même son de cloche|same thing|même son de cloche|||||même son de cloche|||||
