Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
acquisition;;l'acquisition;;les acquisitions;acquisition;;
argument;l'argument;;les arguments;;argument;;
assiduité;;l'assiduité;;les assiduités;Attendance
atout;l'atout;;les atouts;;advantage/ asset;;
autonomie;;l'autonomie;;les autonomies;autonomy;;
banqueroute;;la banqueroute;;les banqueroutes;bankruptcy;;
bulletin de paie;le bulletin de paie;;les bulletins de paie;;payslip;;
cadre;le cadre;;les cadres;;door/ picture frame, business executive;;
cause;;la cause;;les causes;cause;;
chantier;le chantier;;les chantiers;;building site;;
chronologie;;la chronologie;;les chronologies;chronology;;
circonstance;;la circonstance;;les circonstances;circumstance;;
congé;le congé;;les congés;;leave (time off, absence from work);;
copie;;la copie;;les copies;copy;;
doctorat;le doctorat;;les doctorats;;doctorate;;
efficacité;;l'efficacité;;;efficacy;;
encouragement;l'encouragement;;les encouragements;;encouragement;;
enumération;;l'énumération;;les énumérations;enumeration;;
équilibre;l'équilibre;;les équilibres;;balance;;
équitation;;l'équitation;;;Equestrianism/ act of horseriding;;
estime;;l'estime;;;esteem;;
estime de soi;;l'estime de soi;;;self-esteem;;
expéditeur;l'expéditeur;l'expéditrice;les expéditeurs;;Sender;;
façon;;la façon;;les façons;the way/ manner/ fashion;;
faillite;;la faillite;;les faillites;bankruptcy;;
fil conducteur;le fil conducteur;;les fils conducteurs;;power cable, (figurative) common thread;;
flexibilité;;la flexibilité;;les flexibilités;flexibility;;
fonctionnement;le fonctionnement;;les fonctionnements;;working/ functioning;;
force;;la force;;les forces;force, strength;;
génie;le génie;;les génies;;genie, genius, engineering;;
harcèlement;le harcèlement;;les harcèlements;;harassment;;
implication;;l'implication;;les implications;involvement, implication;;
incitation;;l'incitation;;les incitations;incitation;;
laïcité;;la laïcité;;les laïcités;secularity, secularism;;
licenciement;le licenciement;;les licenciements;;sacking/ redundancy;;
licence;;la licence;;les licences;licence, bachelor's degree;;
master;le master;;les masters;;master's degree;;
matière;;la matière;;les matières;material, matter;;
méthodologie;le méthodologie;;les méthodologies;;methodology;;
passerelle;;la passerelle;;les passerelles;footbridge, (education) bridging program;;
phoque;le phoque;;les phoques;;seal;;
pourboire;le pourboire;;les pourboires;;tip;;
précarité;;la précarité;;les précarités;existence without financial security;;
prime;;la prime;;les primes;reward/ prize/ bonus, premium (insurance);;
récupération;;la récupération;;les récupérations;recovery, retrieval;;
référence;;la référence;;les références;reference;;
salarié;le salarié;;les salariés;;employee;;
secteur;le secteur;;les secteurs;;sector;;
souplesse;;la souplesse;;les souplesses;flexibility;;
stratégie;;la stratégie;;les stratégies;strategy;;
syndicaliste;le syndicaliste;;les syndicalistes;;trade unionist;;
thèse;;la thèse;;les thèses;thesis
travail au noir;le travail au noir;;les travaux au noir;;undeclared work;;
tuteur;le tuteur;la tutrice;les tuteurs;;tutor;;
variété;;la variété;;les variétés;variety
