Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
épanouissant;épanouissant;épanouissante;épanouissants;épanouissantes;fulfilling;;
factice;factice;;factices;;fake;;
imprudent;imprudent;imprudente;imprudents;imprudentes;imprudent/ reckless;;
informationnel;informationnel;informationnelle;informationnels;informationnelles;informational;;
loufoque;loufoque;;loufoques;;crazy;;
minutieux;minutieux;minutieuse;minutieux;minutieuses;thorough/ elaborate/ detailed;;
neutre;neutre;;neutres;;neutral;;
objectif;objectif;objective;objectifs;objectives;objective/ impartial;;
paradoxal;paradoxal;paradoxale;paradoxaux;paradoxales;paradoxical;;
passionnant;passionnant;passionnante;passionnants;passionnantes;evoking passion or enthusiasm;;
pénible;pénible;;pénibles;;painful/ hard/ displeasing, annoying;;
pertinent;pertinent;pertinente;pertinents;pertinentes;pertinent;;
polyvalent;polyvalent;polyvalente;polyvalents;polyvalentes;versatile, multipurpose;;
ponctuel;ponctuel;ponctuelle;ponctuels;ponctuelles;punctual;;
prévisible;prévisible;;prévisibles;;predictable;;
régulier;régulier;régulière;réguliers;régulières;regular;;
renommé;renommé;renommée;renommés;renommées;renowned;;
répétitif;répétitif;répétitive;répétitifs;répétitives;repetitive;;
sobre;sobre;;sobres;;sober, modest;;
sophistiqué;sophistiqué;sophistiquée;sophistiqués;sophistiquées;sophisticated;;
souple;souple;;souples;;supple/ flexible
subjectif;subjectif;subjective;subjectifs;subjectives;subjective/ personal;;
varié;varié;variée;variés;variées;varied;;
vestimentaire;vestimentaire;;vestimentaires;;(adjective) clothing
