Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
après-rasage;l'après-rasage;;les après-rasage;;aftershave;;
coffret;le coffret;;les coffrets;;small box, case, casket;;
