Ending;Gender;Examples;Exceptions
-age;m;le garage;la page, la plage, la cage, la nage, la rage
-ail;m;le travail;
-al;m;le journal;
-ant;m;le restaurant
-aire;m;le dictionnaire;l'affaire, la grammaire, la paire
-eau;m;le tableau;l'eau, la peau
-amme;m;le programme;la flamme, la gamme
-et;m;le cabinet;la forêt
-ier;m;le papier
-isme;m;le communisme
-ment;m;le gouvernement
-oir;m;le miroir
-ain;m;le frain, le copain
-eu;m;l'aveu, le neveu
-ège;m;le siège, la manège
-at;m;le chat, le plat
-ade;f;la parade, la sérénade;le stade
-aille;f;la bataille
-able;f;la table;le câble, le cartable, le diable, le portable, le sable
-ision;f;la télévision
-ition;f;la conversation
-aine;f;la douzaine;le domaine
-eine;f;la peine;le capitaine
-ée;f;une allée;le lycée, le musée
-esse;f;la promesse
-ette;f;la cigarette
-té;f;la liberté
-ice;f;la justice;l'exercice, le sacrifice, le service
-tude;f;la solitude
-oire;f;la solitude
-çon;f;la leçon;le garçon, le glaçon, le soupçon, le maçon
-eur;f;l'odeur, la sueur;le bonheur, le tailleur, le malheur
-ance;f;la connaissance
-ence;f;la science;le silence
-ie;f;la partie, la vie;l'incendie, le parapluie
