Verb;ProlativeUsage;AUsage;DeUsage;AvecUsage
parler;;Il parle à son ami (He's talking to his friend);Il parle de son ami (He's talking about his friend);Il parle avec son ami (He's talking with his friend)
penser;Je pense partir avant la fin (I’m planning to leave before the end);Je pense à mes enfants (I think about my children) (to have in mind);;
