Word;Past Participle;Present Participle;Basic meanings of word;Example sentences;Wiktionary
attendrir;attendri;attendrissant;to soften;;
coller;collé;collant;to stick/ paste/ glue;;
déclarer;déclaré;déclarant;to declare
emballer;emballé;emballant;to wrap up;;
froncer;froncé;fronçant;to scowl;;
mâcher;mâché;mâchant;to chew;;
ruiner;ruiné;ruinant;to ruin
surveiller;surveillé;surveillant;to monitor/ watch
