Word;Basic meanings of word;Example sentences;Wiktionary
avoir du mal (à + verbe);to have difficulty;;
avoir l'impression;have the feeling;;
faire un tour;take a walk
froncer les sourcils;to furrow one's brow;;
mettre la table;to set the table;;
par hasard;at random/ by chance
se connecter à internet;connect to the internet
les restes;leftovers
