Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
abri;l'abri;;les abris;;shelter;;
adhésion;;l'adhésion;;les adhésions;adhesion;;
adolescence;;l'adolescence;;les adolescences;adolescence;;
affinité;;l'affinité;;les affinités;affinity;;
aïeul;l'aïeul;l'aïeule;les aïeuls;;grandparent;;
ambiance;;l'ambiance;;les ambiances;ambiance;;
ange;l'ange;;les anges;;angel;;
arrière-petit-fils;l'arrière-petit-fils;l'arrière-petite-fille;les arrière-petits-fils;;great grandchild;;
artichaut;l'artichaut;;les artichauts;;artichoke;;
assainissement;l'assainissement;;les assainissements;;sanitation;;
baptême;le baptême;;les baptêmes;;baptism;;
benjamin;le banjamin;la benjamine;les benjamins;;youngest child;;
Bisonours;le Bisounours;;;;Care Bear;;
bouquet;le bouquet;;les bouquets;;bouquet;;
bourreau;le bourreau;;les bourreaux;;executioner;;
buanderie;;la buanderie;;les buanderies;laundry;;
budget;le budget;;les budgets;;budget;;
calembour;le calembour;;les calembours;;pun, word game;;
canaille;;la canaille;;les canailles;scoundrel/ dishonest person;;
casanier;le casanier;la casanière;les casaniers;les casanières;(also adj) homebody;;
centre d'intérêt;le centre d'intérêt;;les centres d'intérêts;;area of interest, hobby;;
cérémonie;;la cérémonie;;les cérémonies;ceremony;;
chasse;;la chasse;;les chasses;hunt;;
chasse au trésor;;la chasse au trésor;;les chasses au trésor;treasure hunt;;
chiffre;le chiffre;;les chiffres;;a digit (number);;
collaborateur;le collaborateur;la collaboratrice;les collaborateurs;;collaborator (at work);;
comité;le comité;;les comités;;committee;;
concubinage;le concubinage;;les concubinages;;living together with a partner without being married;;
conflit;le conflit;;les conflits;;conflict;;
couche;;la couche;;les couches;nappy;;
coureur;le coureur;la coureuse;les coureurs;;runner;;
cousinade;;la cousinade;;les cousinades;family reunion;;
coutume;;la coutume;;les coutumes;custom;;
crédit;le crédit;;les crédits;;credit;;
croisement;le croisement;;les croisements;;crossing;;
croissance;;la croissance;;les croissances;growth;;
croque-mitaine;le croque-mitaine;;les croque-mitaines;;boogeyman;;
culte;le culte;;les cultes;;religion (not derogatory);;
décor;le décor;;les décors;;decor;;
descendant;le descendant;la descendante;les descendants;;descendant;;
diable;le diable;;les diables;;devil;;
doudou;le doudou;;les doudous;;stuffed toy;;
énigme;;l'énigme;;les énigmes;enigma/ puzzle/ anything difficult to understand;;
enterrement;l'enterrement;;les enterrements;;burial/ funeral;;
éolienne;;l'éolienne;;les éoliennes;wind turbine;;
époux;l'époux;l'épouse;;;spouse;;
faiseur;le faiseur;la faiseuse;les faiseurs;;maker;;
filleul;le filleul;la filleule;les filleuls;;godchild;;
foule;;la foule;;les foules;crowd;;
funérailles;;;;les funérailles;funeral;;
gendre;le gendre;;les gendres;;son-in-law;;
gosse;le gosse;la gosse;les gosses;;(colloquial) kid;;
individu;l'individu;;les individus;;individual;;
itinéraire;l'itinéraire;;les itinéraires;;itinerary;;
jumeau;le jumeau;la jumelle;les jumeaux;;twin;;
lessive;;la lessive;;les lessives;laundry/ washing;;
maniaque;le maniaque;la maniaque;les maniaques;;(also adj) maniac, obsessive person;;
marmot;le marmot;la marmotte;les marmots;;(colloquial) kid;;
mél;le mél;;les méls;;email;;
mémé;;la mémé;;les mémés;(child talk) grandma;;
môme;le môme;la môme;les mômes;;(colloquial) kid;;
noce;;0;;les noces;wedding;;
nourrisson;le nourrisson;;les nourrissons;;infant;;
nouveau-né;le nouveau-né;la nouvelle-née;les nouveau-nés;les nouvelles-nées;newborn (also adj);;
obsèques;;;;les obsèques;funeral;;
originalité;l'originalité;;les originalités;;originality;;
palier;le palier;;les paliers;;level, flat area, landing (stairs);;
paradis;le paradis;;;;paradise, heaven;;
parrain;le parrain;la marraine;les parrains;les marraines;godparent;;
pauvreté;;la pauvreté;;les pauvretés;poverty;;
peluche;;la peluche;;les peluches;plush (toy);;
pépé;le pépé;;les pépés;;(child talk) grandpa;;
péremption;;la péremption;;les péremptions;expiry;;
perte;;la perte;;les pertes;loss;;
plaisanterie;;la plaisanterie;;les plaisanteries;joke, fun;;
puberté;;la puberté;;les pubertés;puberty;;
quiz;le quiz;;;;quiz;;
rabais;le rabais;;;;discount;;
rallye;le rallye;;les rallyes;;Multi step race (like amazing race), offroad rally;;
rassemblement;le rassemblement;;les rassemblements;;assembly/ gathering;;
réduction;;la réduction;;les réductions;reduction/ discount;;
relation;;la relation;;les relations;relation, relationship;;
retrouvaille;;la retrouvaille;;les retrouvailles;(mostly plural) reunion;;
réunion;;la réunion;;les réunions;meeting;;
rituel;le rituel;;les rituels;;ritual;;
rupture;;la rupture;;les ruptures;breakup;;
secte;;la secte;;les sectes;sect/ cult;;
séminaire;le séminaire;;les séminaires;;seminar;;
signature;;la signature;;les signatures;signature;;
soupir;le soupir;;les soupirs;;sigh;;
sport mécanique;le sport mécanique;;les sports mécaniques;;motorsport;;
tarif;le tarif;;les tarifs;;price (usually of a service);;
tenue;;la tenue;;les tenues;outfit;;
tonton;le tonton;la tata;les tontons;les tatas;(child talk) uncle/ aunt;;
traine;;la traine;;les traines;train of a dress;;
trésor;le trésor;;les trésors;;treasure
végétal;le végétal;;les végétaux;;(also adj) plant;;
veille;;la veille;;les veilles;the day before/ eve;;
vieillard;le vieillard;la vieillarde;les vieillards;;old person
