Word;Basic meanings of word;Example sentences;Wiktionary
dès que;Conjunction: Once, as soon as;;
concrètement;Adverb: concretely, solidly;;
par la suite;Adverb: Subsequently, afterwards, later;;
vivement;Adverb: forcefully, vigorously;;
