Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
abécédaire;l'abécédaire;;les abécédaires;;an alphabet primer;;
baroudeur;le baroudeur;la baroudeuse;les baroudeurs;les baroudeuses;backpacker;;
classement;le classement;;les classements;;ranking, classification;;
coût;le coût;;les coûts;;cost/price;;
crise;;la crise;;les crises;crisis;;
critère;le critère;;les critères;;criterion;;
dirigeant;le dirigeant;;les dirigeants;;leader;;
échec;l'échec;;les échecs;;failure, (chess) check;;
expatrié;l'expatrié;l'expatriée;les expatriés;;expat;;
hiérarchie;;l'hiérarchie;;les hiérarchies;hierarchy;;
impôt;l'impôt;;les impôts;;tax;;
mise en garde;la mise en garde;;les mises en garde;;warning/caution;;
montant;le montant;;les montants;;a monetary amount;;
palmarès;le palmarès;;les palmarès;;prize list/list of winners;;
Pays-Bas;;;les Pays-Bas;;Netherlands;;
quête;;la quête;;les quêtes;quest/search;;
rêveur;le rêveur;la rêveuse;les rêveurs;;dreamer;;
taux;le taux;;les taux;;rate/level;;
vie nocturne;;la vie nocturne;;;night life
