Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
absolu;absolu;absolue;absolus;absolues;absolute;;
accueillant;accueillant;accueillante;accueillants;accueillantes;welcoming;;
annuel;annuel;annuelle;annuels;annuelles;annual;;
bordé;bordé;bordée;bordés;bordées;bordered;;
caritatif;caritatif;caritative;caritatifs;caritatives;charitable/charity;;
commun;commun;commune;communs;communes;common (shared), communal;;
conjugal;conjugal;conjugale;conjugaux;conjugales;conjugal (relating to marriage)
hors du commun;hors du commun;;;;out of the ordinary;;
indispensable;indispensable;indispensable;indispensables;indispensables;indispensable/ can't live without it;;
lointain;lointain;lointaine;lointains;lointaines;distant/ remote;;
lumineux;lumineux;lumineuse;lumineux;lumineuses;bright/luminous;;
méconnu;méconnu;méconnue;méconnus;méconnues;little known/unfamiliar (but not unknown), misunderstood, underappreciated;;
ménager;ménager;ménagère;ménagers;ménagères;household;;
mensuel;mensuel;mensuelle;mensuels;mensuelles;monthly
motivé;motivé;motivée;motivés;motivées;motivated/enthusiastic;;
mûr;mûr;mûre;mûrs;mûres;mature;;
nombreux;nombreux;nombreuse;nombreux;nombreuses;numerous/ many;;
pâle;pâle;pâle;pâles;pâles;pale;;
phénoménal;phénoménal;phénoménale;phénoménaux;phénoménales;phenomenal
privé;privé;privée;privés;privées;private;;
récent;récent;récente;récents;récentes;recent;;
requis;requis;requise;requis;requises;required;;
solidaire;solidaire;solidaire;solidaires;solidaires;showing solidarity (with);;
soyeux;soyeux;soyeuse;soyeux;soyeuses;silky;;
spacieux;spacieux;spacieuse;spacieux;spacieuses;spacious;;
spotané;spontané;spontanée;spontanés;spontanées;spontaneous;;
téméraire;téméraire;téméraire;téméraires;téméraires;rash/reckless
tentant;tentant;tentante;tentants;tenantes;tempting
