Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
autoproclamé;autoproclamé;autoproclamée;autoproclamés;autoproclamées;self-proclaimed;;
branché;branché;branchée;branchés;branchées;trendy;;
courant;courant;courante;courants;courantes;current/ present, fluent;;
criard;criard;criarde;criards;criardes;(sound) shrill, (colour) garish;;
déjanté;déjanté;déjantée;déjantés;déjantées;crazy, eccentric;;
déraisonnable;déraisonnable;;déraisonnables;;unreasonable;;
dominical;dominical;dominicale;dominicaux;dominicales;related to Sunday;;
fade;fade;;fades;;bland, tasteless;;
farouche;farouche;;farouches;;shy, stubborn;;
fondamental;fondamental;fondamentale;fondamentaux;fondamentales;fundamental;;
haut de gamme;haut de gamme;;;;upscale/ high-end;;
incontournable;incontournable;;incontournables;;unmissable;;
indécent;indécent;indécente;indécents;indécentes;indecent;;
indéniable;indéniable;;indéniables;;undeniable;;
indissociable;indissociable;;indissociables;;inseparable;;
influent;influent;influente;influents;influentes;influential;;
intemporel;intemporel;intemporelle;intemporels;intemporelles;timeless;;
légitime;légitime;;légitimes;;legitimate;;
omniprésent;omniprésent;omniprésente;omniprésents;omniprésentes;omnipresent;;
outré;outré;outrée;outrés;outrées;excessive, outrageous, outraged;;
phobique;phobique;;phobiques;;phobic;;
pur;pur;pure;purs;pures;pure;;
ringard;ringard;ringarde;ringards;ringardes;old fashioned, cheesy
risible;risible;;risibles;;laughable;;
tapageur;tapageur;tapageuse;tapageurs;tapageuses;rowdy/ noisy, garish/ gaudy
